date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Encoded_Lane,shipment_transformed,Previous Week Shipment,Previous Year Shipment,Previous 2Week Shipment,Moving Average Shipment,Predicted_shipment
2023-11-06,45,2023,11,DE02_29143048,4,0,4,1,1.6094379124341003,0,0,0,0,2
2023-11-13,46,2023,11,DE02_29143048,3,0,4,1,1.3862943611198906,4,0,0,0,4
2023-11-20,47,2023,11,DE02_29143048,6,0,4,1,1.9459101490553132,3,0,4,0,3
2023-11-27,48,2023,11,DE02_29143048,2,0,4,1,1.0986122886681098,6,0,3,3,1
2023-12-04,49,2023,12,DE02_29143048,5,0,4,1,1.791759469228055,2,0,6,4,4
2023-12-11,50,2023,12,DE02_29143048,3,0,4,1,1.3862943611198906,5,0,2,4,2
2023-12-18,51,2023,12,DE02_29143048,7,0,4,1,2.0794415416798357,3,0,5,4,6
2023-12-25,52,2023,12,DE02_29143048,2,1,4,1,1.0986122886681098,7,0,3,4,2
2023-11-06,45,2023,11,DE02_29143975,3,0,4,1,1.3862943611198906,2,0,7,0,1
2023-11-13,46,2023,11,DE02_29143975,6,0,4,1,1.9459101490553132,3,0,2,0,3
2023-11-20,47,2023,11,DE02_29143975,1,0,4,1,0.6931471805599453,6,0,3,0,2
2023-11-27,48,2023,11,DE02_29143975,3,0,4,1,1.3862943611198906,1,0,6,1,1
2023-12-04,49,2023,12,DE02_29143975,6,0,4,1,1.9459101490553132,3,0,1,2,2
2023-12-11,50,2023,12,DE02_29143975,1,0,4,1,0.6931471805599453,6,0,3,1,2
2023-12-18,51,2023,12,DE02_29143975,1,0,4,1,0.6931471805599453,1,0,6,1,1
2023-12-25,52,2023,12,DE02_29143975,1,1,4,1,0.6931471805599453,1,0,1,2,0
2023-11-06,45,2023,11,DE05_29144321,1,0,4,2,0.6931471805599453,1,0,1,0,1
2023-11-13,46,2023,11,DE05_29144321,4,0,4,2,1.6094379124341003,1,0,1,0,1
2023-11-20,47,2023,11,DE05_29144321,3,0,4,2,1.3862943611198906,4,0,1,0,2
2023-11-27,48,2023,11,DE05_29144321,1,0,4,2,0.6931471805599453,3,0,4,1,2
2023-12-04,49,2023,12,DE05_29144321,1,0,4,2,0.6931471805599453,1,0,3,1,1
2023-12-11,50,2023,12,DE05_29144321,1,0,4,2,0.6931471805599453,1,0,1,2,0
2023-12-18,51,2023,12,DE05_29144321,6,0,4,2,1.9459101490553132,1,0,1,2,1
2023-12-25,52,2023,12,DE05_29144321,2,1,4,2,1.0986122886681098,6,0,1,2,3
2023-11-06,45,2023,11,DE05_29144476,9,0,4,2,2.302585092994046,2,0,6,0,1
2023-11-13,46,2023,11,DE05_29144476,3,0,4,2,1.3862943611198906,9,0,2,0,3
2023-11-20,47,2023,11,DE05_29144476,0,0,4,2,0.0,3,0,9,0,1
2023-11-27,48,2023,11,DE05_29144476,5,0,4,2,1.791759469228055,0,0,3,3,1
2023-12-04,49,2023,12,DE05_29144476,3,0,4,2,1.3862943611198906,5,0,0,4,2
2023-12-11,50,2023,12,DE05_29144476,4,0,4,2,1.6094379124341003,3,0,5,2,2
2023-12-18,51,2023,12,DE05_29144476,7,0,4,2,2.0794415416798357,4,0,3,2,3
2023-12-25,52,2023,12,DE05_29144476,5,1,4,2,1.791759469228055,7,0,4,2,3
2023-11-06,45,2023,11,DE05_29146035,5,0,4,0,1.791759469228055,5,0,7,0,3
2023-11-13,46,2023,11,DE05_29146035,5,0,4,0,1.791759469228055,5,0,5,0,3
2023-11-20,47,2023,11,DE05_29146035,8,0,4,0,2.1972245773362196,5,0,5,0,3
2023-11-27,48,2023,11,DE05_29146035,7,0,4,0,2.0794415416798357,8,0,5,1,3
2023-12-04,49,2023,12,DE05_29146035,5,0,4,0,1.791759469228055,7,0,8,1,2
2023-12-11,50,2023,12,DE05_29146035,12,0,4,0,2.5649493574615367,5,0,7,1,2
2023-12-18,51,2023,12,DE05_29146035,7,0,4,0,2.0794415416798357,12,0,5,0,3
2023-12-25,52,2023,12,DE05_29146035,4,1,4,0,1.6094379124341003,7,0,12,0,2
2023-11-06,45,2023,11,DE05_29146133,2,0,4,0,1.0986122886681098,4,0,7,0,3
2023-11-13,46,2023,11,DE05_29146133,3,0,4,0,1.3862943611198906,2,0,4,0,3
2023-11-20,47,2023,11,DE05_29146133,1,0,4,0,0.6931471805599453,3,0,2,0,2
2023-11-27,48,2023,11,DE05_29146133,4,0,4,0,1.6094379124341003,1,0,3,0,2
2023-12-04,49,2023,12,DE05_29146133,0,0,4,0,0.0,4,0,1,1,1
2023-12-11,50,2023,12,DE05_29146133,1,0,4,0,0.6931471805599453,0,0,4,1,1
2023-12-18,51,2023,12,DE05_29146133,3,0,4,0,1.3862943611198906,1,0,0,1,1
2023-12-25,52,2023,12,DE05_29146133,2,1,4,0,1.0986122886681098,3,0,1,1,2
2023-11-06,45,2023,11,DE06_29142970,2,0,4,0,1.0986122886681098,2,0,3,0,2
2023-11-13,46,2023,11,DE06_29142970,6,0,4,0,1.9459101490553132,2,0,2,0,2
2023-11-20,47,2023,11,DE06_29142970,2,0,4,0,1.0986122886681098,6,0,2,0,2
2023-11-27,48,2023,11,DE06_29142970,5,0,4,0,1.791759469228055,2,0,6,1,2
2023-12-04,49,2023,12,DE06_29142970,1,0,4,0,0.6931471805599453,5,0,2,1,1
2023-12-11,50,2023,12,DE06_29142970,2,0,4,0,1.0986122886681098,1,0,5,1,2
2023-12-18,51,2023,12,DE06_29142970,3,0,4,0,1.3862943611198906,2,0,1,1,2
2023-12-25,52,2023,12,DE06_29142970,2,1,4,0,1.0986122886681098,3,0,2,1,3
2023-11-20,47,2023,11,DE02_29143519,4,0,4,1,1.6094379124341003,2,0,3,0,2
2023-11-27,48,2023,11,DE02_29143519,2,0,4,1,1.0986122886681098,4,0,2,0,2
2023-11-06,45,2023,11,DE02_29143519,1,0,4,1,0.6931471805599453,2,0,4,0,1
2023-11-13,46,2023,11,DE02_29143519,0,0,4,1,0.0,1,0,2,2,1
2023-11-20,47,2023,11,DE02_29143656,3,0,4,1,1.3862943611198906,0,0,1,1,1
2023-11-06,45,2023,11,DE02_29143656,2,0,4,1,1.0986122886681098,3,0,0,1,2
2023-11-13,46,2023,11,DE02_29143656,1,0,4,1,0.6931471805599453,2,0,3,1,1
2023-11-27,48,2023,11,DE02_29143656,1,0,4,1,0.6931471805599453,1,0,2,0,2
2023-11-13,46,2023,11,DE02_29191028,3,0,4,1,1.3862943611198906,1,0,1,0,1
2023-11-06,45,2023,11,DE02_29191028,1,0,4,1,0.6931471805599453,3,0,1,0,3
2023-11-20,47,2023,11,DE02_29191028,1,0,4,1,0.6931471805599453,1,0,3,0,1
2023-11-27,48,2023,11,DE02_29191028,1,0,4,1,0.6931471805599453,1,0,1,2,1
2023-11-06,45,2023,11,DE02_29365141,1,0,4,2,0.6931471805599453,1,0,1,2,0
2023-11-13,46,2023,11,DE02_29365141,1,0,4,2,0.6931471805599453,1,0,1,1,1
2023-11-20,47,2023,11,DE02_29365141,1,0,4,2,0.6931471805599453,1,0,1,2,0
2023-11-27,48,2023,11,DE02_29365141,0,0,4,2,0.0,1,0,1,2,0
2023-11-06,45,2023,11,DE02_29756574,2,0,4,2,1.0986122886681098,0,0,1,0,1
2023-11-13,46,2023,11,DE02_29756574,1,0,4,2,0.6931471805599453,2,0,0,0,1
2023-11-27,48,2023,11,DE02_29756574,1,0,4,2,0.6931471805599453,1,0,2,0,1
2023-11-20,47,2023,11,DE02_29756574,0,0,4,2,0.0,1,0,1,4,1
2023-11-06,45,2023,11,DE02_29785993,2,0,4,2,1.0986122886681098,0,0,1,2,1
2023-11-13,46,2023,11,DE02_29785993,2,0,4,2,1.0986122886681098,2,0,0,3,2
2023-11-20,47,2023,11,DE02_29785993,2,0,4,2,1.0986122886681098,2,0,2,4,2
2023-11-27,48,2023,11,DE02_29785993,2,0,4,2,1.0986122886681098,2,0,2,4,2
2023-11-13,46,2023,11,DE05_29145543,3,0,4,0,1.3862943611198906,2,0,2,0,2
2023-11-20,47,2023,11,DE05_29145543,2,0,4,0,1.0986122886681098,3,0,2,0,2
2023-11-06,45,2023,11,DE05_29145543,1,0,4,0,0.6931471805599453,2,0,3,0,2
2023-11-27,48,2023,11,DE05_29145543,0,0,4,0,0.0,1,0,2,1,1
2023-11-20,47,2023,11,DE05_29237315,2,0,4,0,1.0986122886681098,0,0,1,1,1
2023-11-06,45,2023,11,DE05_29237315,1,0,4,0,0.6931471805599453,2,0,0,1,1
2023-11-13,46,2023,11,DE05_29237315,1,0,4,0,0.6931471805599453,1,0,2,1,1
2023-11-27,48,2023,11,DE05_29237315,1,0,4,0,0.6931471805599453,1,0,1,1,1
2023-11-27,48,2023,11,DE06_29142961,2,0,4,0,1.0986122886681098,1,0,1,0,1
2023-11-06,45,2023,11,DE06_29142961,1,0,4,0,0.6931471805599453,2,0,1,0,1
2023-11-13,46,2023,11,DE06_29142961,1,0,4,0,0.6931471805599453,1,0,2,0,1
2023-11-20,47,2023,11,DE06_29142961,1,0,4,0,0.6931471805599453,1,0,1,6,1
2023-11-06,45,2023,11,DE06_29143103,1,0,4,0,0.6931471805599453,1,0,1,6,1
2023-11-13,46,2023,11,DE06_29143103,1,0,4,0,0.6931471805599453,1,0,1,8,1
2023-11-20,47,2023,11,DE06_29143103,1,0,4,0,0.6931471805599453,1,0,1,7,1
2023-11-27,48,2023,11,DE06_29143103,1,0,4,0,0.6931471805599453,1,0,1,7,1
2023-11-27,48,2023,11,DE06_29143128,2,0,4,0,1.0986122886681098,1,0,1,0,1
2023-11-13,46,2023,11,DE06_29143128,1,0,4,0,0.6931471805599453,2,0,1,0,1
2023-11-20,47,2023,11,DE06_29143128,1,0,4,0,0.6931471805599453,1,0,2,0,1
2023-11-06,45,2023,11,DE06_29143128,0,0,4,0,0.0,1,0,1,2,1
2023-11-20,47,2023,11,DE06_40106043,2,0,4,0,1.0986122886681098,0,0,1,2,1
2023-11-27,48,2023,11,DE06_40106043,2,0,4,0,1.0986122886681098,2,0,0,1,1
2023-11-13,46,2023,11,DE06_40106043,1,0,4,0,0.6931471805599453,2,0,2,2,2
2023-11-06,45,2023,11,DE06_40106043,0,0,4,0,0.0,1,0,2,1,1
2023-11-06,45,2023,11,DE08_29143191,1,0,4,0,0.6931471805599453,0,0,1,0,2
2023-11-13,46,2023,11,DE08_29143191,1,0,4,0,0.6931471805599453,1,0,0,0,1
2023-11-20,47,2023,11,DE08_29143191,1,0,4,0,0.6931471805599453,1,0,1,0,1
2023-11-27,48,2023,11,DE08_29143191,1,0,4,0,0.6931471805599453,1,0,1,1,1
2023-12-04,49,2023,12,DE02_29143519,5,0,4,1,1.791759469228055,1,0,1,1,1
2023-12-11,50,2023,12,DE02_29143519,1,0,4,1,0.6931471805599453,5,0,1,1,1
2023-12-18,51,2023,12,DE02_29143519,1,0,4,1,0.6931471805599453,1,0,5,1,1
2023-12-25,52,2023,12,DE02_29143519,1,1,4,1,0.6931471805599453,1,0,1,1,1
2023-12-11,50,2023,12,DE02_29143656,3,0,4,1,1.3862943611198906,1,0,1,0,2
2023-12-18,51,2023,12,DE02_29143656,3,0,4,1,1.3862943611198906,3,0,1,0,3
2023-12-04,49,2023,12,DE02_29143656,2,0,4,1,1.0986122886681098,3,0,3,0,2
2023-12-25,52,2023,12,DE02_29143656,2,1,4,1,1.0986122886681098,2,0,3,1,2
2023-12-11,50,2023,12,DE02_29191028,1,0,4,1,0.6931471805599453,2,0,2,1,2
2023-12-18,51,2023,12,DE02_29191028,1,0,4,1,0.6931471805599453,1,0,2,1,2
2023-12-04,49,2023,12,DE02_29191028,0,0,4,1,0.0,1,0,1,1,1
2023-12-25,52,2023,12,DE02_29191028,0,1,4,1,0.0,0,0,1,1,1
2023-12-25,52,2023,12,DE02_29365141,4,1,4,2,1.6094379124341003,0,0,0,0,0
2023-12-11,50,2023,12,DE02_29365141,1,0,4,2,0.6931471805599453,4,0,0,0,1
2023-12-18,51,2023,12,DE02_29365141,1,0,4,2,0.6931471805599453,1,0,4,0,1
2023-12-04,49,2023,12,DE02_29365141,0,0,4,2,0.0,1,0,1,3,1
2023-12-18,51,2023,12,DE02_29756574,2,0,4,2,1.0986122886681098,0,0,1,3,2
2023-12-04,49,2023,12,DE02_29756574,1,0,4,2,0.6931471805599453,2,0,0,2,1
2023-12-11,50,2023,12,DE02_29756574,1,0,4,2,0.6931471805599453,1,0,2,2,1
2023-12-25,52,2023,12,DE02_29756574,1,1,4,2,0.6931471805599453,1,0,1,2,1
2023-12-04,49,2023,12,DE02_29785993,1,0,4,2,0.6931471805599453,1,0,1,0,1
2023-12-18,51,2023,12,DE02_29785993,1,0,4,2,0.6931471805599453,1,0,1,0,1
2023-12-25,52,2023,12,DE02_29785993,1,1,4,2,0.6931471805599453,1,0,1,0,1
2023-12-11,50,2023,12,DE02_29785993,0,0,4,2,0.0,1,0,1,1,1
2023-12-18,51,2023,12,DE05_29145543,3,0,4,0,1.3862943611198906,0,0,1,1,2
2023-12-04,49,2023,12,DE05_29145543,2,0,4,0,1.0986122886681098,3,0,0,1,1
2023-12-25,52,2023,12,DE05_29145543,1,1,4,0,0.6931471805599453,2,0,3,1,2
2023-12-11,50,2023,12,DE05_29145543,0,0,4,0,0.0,1,0,2,1,2
2023-12-25,52,2023,12,DE05_29237315,2,1,4,0,1.0986122886681098,0,0,1,0,1
2023-12-04,49,2023,12,DE05_29237315,1,0,4,0,0.6931471805599453,2,0,0,0,1
2023-12-11,50,2023,12,DE05_29237315,1,0,4,0,0.6931471805599453,1,0,2,0,2
2023-12-18,51,2023,12,DE05_29237315,0,0,4,0,0.0,1,0,1,1,1
2023-12-04,49,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,0,0,1,1,1
2023-12-11,50,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,1,0,0,1,1
2023-12-18,51,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,1,0,1,1,1
2023-12-25,52,2023,12,DE06_29142961,1,1,4,0,0.6931471805599453,1,0,1,1,1
2023-12-11,50,2023,12,DE06_29143103,2,0,4,0,1.0986122886681098,1,0,1,0,2
2023-12-18,51,2023,12,DE06_29143103,1,0,4,0,0.6931471805599453,2,0,1,0,1
2023-12-25,52,2023,12,DE06_29143103,1,1,4,0,0.6931471805599453,1,0,2,0,1
2023-12-04,49,2023,12,DE06_29143103,0,0,4,0,0.0,1,0,1,1,1
2023-12-18,51,2023,12,DE06_29143128,2,0,4,0,1.0986122886681098,0,0,1,1,2
2023-12-04,49,2023,12,DE06_29143128,1,0,4,0,0.6931471805599453,2,0,0,1,1
2023-12-11,50,2023,12,DE06_29143128,1,0,4,0,0.6931471805599453,1,0,2,1,2
2023-12-25,52,2023,12,DE06_29143128,0,1,4,0,0.0,1,0,1,1,1
2023-12-11,50,2023,12,DE06_40106043,3,0,4,0,1.3862943611198906,0,0,1,0,2
2023-12-18,51,2023,12,DE06_40106043,2,0,4,0,1.0986122886681098,3,0,0,0,2
2023-12-25,52,2023,12,DE06_40106043,2,1,4,0,1.0986122886681098,2,0,3,0,2
2023-12-04,49,2023,12,DE06_40106043,0,0,4,0,0.0,2,0,2,1,1
2023-12-18,51,2023,12,DE08_29143191,3,0,4,0,1.3862943611198906,0,0,2,1,2
2023-12-04,49,2023,12,DE08_29143191,1,0,4,0,0.6931471805599453,3,0,0,1,1
2023-12-11,50,2023,12,DE08_29143191,1,0,4,0,0.6931471805599453,1,0,3,1,1
2023-12-25,52,2023,12,DE08_29143191,1,1,4,0,0.6931471805599453,1,0,1,1,1
